feeder_ada,creator_count,occurrence_count,creators
10.000000,8,12,2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b|c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
1000.000000,7,12,303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
100.000000,7,12,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db|c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0
5000.000000,7,9,2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97|303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0
2000.000000,6,8,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db
999.000000,6,7,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
50.000000,6,6,303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
20.000000,5,5,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24
300.000000,4,4,2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97|303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d
150.000000,4,4,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab
90.000000,4,4,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
3000.000000,3,4,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
99.000000,3,4,5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed
98.000000,3,4,99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db
70.000000,3,4,303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24
25000.000000,3,3,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b
998.000000,3,3,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab
800.000000,3,3,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db
200.000000,3,3,5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b|c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0
145.000000,3,3,303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
4999.000000,2,4,5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0
3999.000000,2,3,303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9
1500.000000,2,3,303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db
500.000000,2,3,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97
10000.000000,2,2,ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b
9999.000000,2,2,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db
4000.000000,2,2,5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b
2500.000000,2,2,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|ad740a7bec32dca47ff4ab50cb4cc2fd00c0c423e81c3264d2569b807c4869db
2499.000000,2,2,5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab
1795.000000,2,2,6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b
499.400000,2,2,2891deb2ec62d19dce0514d73ecb699b3432c3cec2699e356737d0e9927ba546|5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d
499.000000,2,2,303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9
490.000000,2,2,b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
400.000000,2,2,b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
250.000000,2,2,9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
199.400000,2,2,99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b
198.000000,2,2,9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
175.000000,2,2,5b62850775a1604de06ef7a977320160f2cc5a2a6ec38c2eb026fc3ca89f495d|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24
149.000000,2,2,303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed
139.821767,2,2,5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0
121.877000,2,2,9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
110.000000,2,2,b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b|d32ea1af79a113479348aff03287c4bc69c3aa715f8d84ea0534c13a7a5e8bd9
98.900000,2,2,6dc6050deb2cbc1c8d7bc2edd05ed4f5bb2e7f3830f5e9caf8008814f381dbab|99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed
98.400000,2,2,99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24
89.000000,2,2,5001fafa23b819c6b8a135f9fdff49e3f5e5088cd42d3560219bebfa05ad89f9|9adc8044b64dbf35c7263596707aef79a5ccaddb6d717f3aa001603aac0e2a24
71.000000,2,2,2edcd076f50198e71666684283ecda8569313ce64d8f44429bcc5957e3a0fd97|303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8
28.970000,2,2,99456a7792582d1ce80fd7ee5d4e2a47207226d0fb7274a8ab9217239efbc7ed|c512835285a4bc47ee9b66837114c81a60e07b8e48f5f88078d6a70bad90add0
12.000000,2,2,303ed46f9399cf659f9209967070b055333c3959b6a170e91911030c2ddc73a8|b7b0107fb9ce1f0f131f640a21e799361b437903a1c76e57b56542cc9f6b591b
