tx_hash,epoch_no,total_output_lovelace,total_output_ada,input_count,output_count
cb32d36c9ad2d8de1c6482d371bc79a48ce411d5b0a6200d3aba69d5dad77444,212,2175877556648044,2175877556.648,103,2
8c0c03829b6b4f19c8cfb05f6fb34f7aae353b0ef9c6360e638a30176ead85b2,188,2149556146280431,2149556146.280,8,2
6f355004c55cd2a3334ed2b1bc867cfd0a9ec8df73d6be1650bced97d2aaab49,180,2059556145021622,2059556145.022,7,1
f907b62584ca76c533f410867bf964c527b2a8251849d93c2b48a5b69e641816,226,1999999999820448,1999999999.820,53,1
bf18bfd822df85c3da981e9e53b9551f6890c5caa40585a63400e302b0ff1726,180,767000962537777,767000962.538,3,2
86daee1addb1141f39e74fc851e3574d9101cc48ad7cfc1cbe82f1b45131c963,211,671639623308735,671639623.309,76,2
31758ab0634189b80f4a171022a8af33b59243e914d34446e5ac02589ac94e2b,180,502000961175773,502000961.176,4,2
e19fe13aaf89ddd1d365110ebe3ae779507ff057717a6ed82c7940afaf908046,180,459556130404808,459556130.405,12,1
2b5ca99595a44da21700b8d5a6268118d74afec3c05fe4b813a11ea0de48d276,153,329910101926282,329910101.926,43,2
d6ff2e3c54c7bcd2bb6fe08f92313f63e5989bad01b292145534ed9c9f1f3d6d,153,199683145951947,199683145.952,43,2
85186bfdafbd589dc948f304ebe2d0096fd20dab8723bbbfb4e56c377cfe5e68,196,73733394627252,73733394.627,20,34
ba241ecd7b2635919a1ee59aa561f9c37f53c7470169a338cb3fe091a99a13b4,154,69685384202480,69685384.202,3,2
34147ef46fd105ed39e3be63ac194e79622fb1bf9ea6e50313a0c3e0e6fd20c3,239,58356376525206,58356376.525,58,2
f121de50735f795fe1e186be3dc69be3ac18a6db72f7b17f3c9c7fd5582810ad,196,58273531051604,58273531.052,7,14
c0c1f764db984e7fd79d7fc07d18ca2f8ba4f888cdf227315397a8bad91796fc,195,55207636937007,55207636.937,10,20
eb8d1c63f3388547bcdd600764e114bd0f6b7f8da8ea29600d703ee9dfa6db44,196,54665871790853,54665871.791,8,16
f2de36dd4e2c5e79657dd3a042e3e24db678844e8be47dfe0eb72fda456737a6,153,51898461520075,51898461.520,43,2
571f776c0698c576ddecae145f97e7f284b82ebea70fbc924fa4e2a4a6258020,250,50244636263181,50244636.263,384,3
73fb6934e0fd743849de5214c4e2b6d8a6cd7e277f09fc0f9478030e03e6e7cb,196,48721604542280,48721604.542,3,4
bfabd57bd75a18499a80fc28b588a0b160bde02a84861387a148cf01c5bd6088,196,41879733785025,41879733.785,20,36
d1f9929510f8f69185299a2916d595284810b778313bb08e3b1d71d97a418fb1,250,40999788890172,40999788.890,354,3
8f6a540a36d07dd458691341a7bb8e5497775f5d3bac2d4547a9091025c1565a,196,39397662006690,39397662.007,19,28
d7747f96feb89a159b6bc11f4168c3ea5344d5a2f01e67f14ecc2af7dfad383f,196,38429375623896,38429375.624,6,12
b031be4e1e0ebf29d9f0ceab94c49b9a0b375c0fb1783a9406dcbdd9b7d975b5,196,34105392742453,34105392.742,12,22
3bde5e689a527653113ead602c54d8395a75c76cb776ebf735c8b91a6d221d16,196,25712690935290,25712690.935,9,16
1f7a5e619d6abbe6f52a5fc55a9acb5833be5ee9518fec9fe87272f7b6d5c154,195,21560299155001,21560299.155,20,34
0b062805a1ae7ada769efb9df27a506a634eac9342a26c1b865008a63c1c2a67,196,21498704349093,21498704.349,21,30
b1f3ded0c0d36f0affc34b58334e2583a8eda5857c221aef9dc2e36b23434af1,196,21323003429124,21323003.429,7,14
a36d038abc798088018ea2a976acbea41bea4cfc78b431fdfd54296288b52e7e,196,21304593831816,21304593.832,6,12
9a37eff6e3665fea1e0fd537627551f42b87343c07491c963c905edf9ff03ebe,250,20518438874047,20518438.874,164,3
748287a391b6ab85eaff7751f36f0e705dbefdaccdbdd941b92ba762cb074771,196,17309355896555,17309355.897,9,16
55d747e5aa93fbdf790db8190d8f61d323b855aaaf5af0100447e3eabed8a3ad,195,16209675167734,16209675.168,23,34
b48f634a0dd3612ef3fbab30d5b99fa42c06fbbf4d15e6156550f4fe10dc2f90,196,16166196332386,16166196.332,11,12
5c72e83723033f2ab998b8d9e61a920197bc4dd49ecb37f41379b7e44cd805ba,196,15591294136918,15591294.137,29,36
46170d3d2d91d3582f4109831878b74f31d1cfb1f38b0cdd5a7cc1a17f1056aa,196,15243826141673,15243826.142,6,2
c400698140f4203ad37c267457e8ef51b3cd7d67ea5f236eb6410fa9d506f972,196,13631026911836,13631026.912,4,8
88e0d10afd48b2d9057dac5da4788aef88df93d7acc0e0e9daac7b05d4bb8586,196,13277523286541,13277523.287,7,2
779512a63819441610e9bc1f97280a055e71eda637124c5c4fb17ca505f93b78,196,13171302834816,13171302.835,10,16
898bcd08375285e1d66d1fc5bfea39121987852555ea5838a136d723ca7acbbf,196,11861221278338,11861221.278,5,10
a11479d8aed42258b4ac900ebc44bb7e2789fdff991fd1f74b16da470496175b,196,11569404974471,11569404.974,14,22
74028244d0e43206223e68c72059089a404e1e45233ece93aea54c417d0e23a8,196,10820915471042,10820915.471,7,12
ba0e1b11b690cdf4334603e1c92916a7fcbee29cebf28e92a052b69feb1533b7,196,10600431057673,10600431.058,10,16
f53955ecfe45ee6d73e1dbd34b66da08d4d672d6598c23f50e3410bc32457e5d,196,10486406341746,10486406.342,20,2
52036b61b2f8dc40b0767c0db4c02c93464f6ef82ad6cca813e45b6e9c3c3c5f,196,10346971941405,10346971.941,15,18
bc13efd29a83a44ef919880d3beb2388ca9c2023f04d40beaaa72cb689227fa6,196,10337475499880,10337475.500,14,2
530adbd29aa29bad69b72df183cd0275fb39b6ab99bf4fadf0a69cd84b2bb4ae,196,10326798076046,10326798.076,19,2
8a13435ad6c7743d64b606b88896199cb9bedb1230e613a8f52ba78849afe3b5,196,10041976610328,10041976.610,17,2
16aaadda776b1b99d78c63a3086e442c5713b256f8afda3091920ad5ed446288,196,9966977733833,9966977.734,20,2
661101e862725475c87dc2018efcdaa79913abda47c1f676334e9b34ff0469f2,196,9950119209825,9950119.210,17,2
0901eaa0a6ec1362fb22af9e57759efa61957f2a4945cdd8f2551516a0e930cf,196,9777739971412,9777739.971,9,2
